instId,instType,baseCcy,quoteCcy,settleCcy,minSz,lotSz,tickSz,last,vol24h,minOrderValueUSD
RAY-USDT,SPOT,RAY,USDT,,1,0.000001,0.0001,3.235,542103.743089,3.23
RDNT-USDT,SPOT,RDNT,USDT,,10,0.001,0.00001,0.02113,3023406.263,0.21
RENDER-USDT,SPOT,RENDER,USDT,,1,0.001,0.001,3.601,390676.127,3.60
RESOLV-USDT,SPOT,RESOLV,USDT,,10,0.01,0.0001,0.1512,17981457.9,1.51
RIO-USDT,SPOT,RIO,USDT,,1,0.000001,0.0001,0.2759,1275760.153705,0.28
RON-USDT,SPOT,RON,USDT,,1,0.000001,0.0001,0.5173,226726.771593,0.52
RPL-USDT,SPOT,RPL,USDT,,0.1,0.0001,0.001,7.162,6721.0803,0.72
RSR-USDT,SPOT,RSR,USDT,,100,0.000001,0.000001,0.008357,48084905.092362,0.84
RSS3-USDT,SPOT,RSS3,USDT,,10,0.000001,0.00001,0.04589,121620401.870084,0.46
RUNECOIN-USDT,SPOT,RUNECOIN,USDT,,1000,0.1,0.0000001,0.0004702,491670264.7,0.47
RVN-USDT,SPOT,RVN,USDT,,100,0.000001,0.00001,0.01339,16198968.413491,1.34
S-USDT,SPOT,S,USDT,,1,0.001,0.0001,0.3096,7167175.648,0.31
SAFE-USDT,SPOT,SAFE,USDT,,1,0.001,0.0001,0.4151,1490926.911,0.42
SAHARA-USDT,SPOT,SAHARA,USDT,,100,0.1,0.00001,0.08828,12746224,8.83
SAND-USDT,SPOT,SAND,USDT,,10,0.000001,0.0001,0.277,3193259.809741,2.77
SATS-USDT,SPOT,SATS,USDT,,10000000,1,0.00000000001,0.00000003682,38218093555294,0.37
SC-USDT,SPOT,SC,USDT,,100,0.000001,0.000001,0.003003,15641560.053742,0.30
SCR-USDT,SPOT,SCR,USDT,,1,0.001,0.0001,0.3569,1650707.003,0.36
SD-USDT,SPOT,SD,USDT,,1,0.000001,0.0001,0.6956,371617.366033,0.70
SHIB-USDT,SPOT,SHIB,USDT,,100000,1,0.000000001,0.000012324,357947855789,1.23
SKL-USDT,SPOT,SKL,USDT,,100,0.000001,0.00001,0.0307,49490888.900508,3.07
SLERF-USDT,SPOT,SLERF,USDT,,10,0.01,0.00001,0.07418,445910.08,0.74
SLP-USDT,SPOT,SLP,USDT,,100,0.000001,0.000001,0.001775,41211932.801994,0.18
SNT-USDT,SPOT,SNT,USDT,,100,0.000001,0.00001,0.02651,6954906.725853,2.65
SNX-USDT,SPOT,SNX,USDT,,1,0.000001,0.0001,0.6478,525837.568406,0.65
SONIC-USDT,SPOT,SONIC,USDT,,10,0.01,0.00001,0.19672,2312058.99,1.97
SOPH-USDT,SPOT,SOPH,USDT,,100,0.1,0.00001,0.03325,11160870.5,3.33
SPK-USDT,SPOT,SPK,USDT,,100,0.1,0.00001,0.07631,49914839.1,7.63
SPURS-USDT,SPOT,SPURS,USDT,,1,0.0001,0.0001,0.4572,64516.799,0.46
SSV-USDT,SPOT,SSV,USDT,,0.1,0.0001,0.001,8.464,94162.6017,0.85
STETH-USDT,SPOT,STETH,USDT,,0.001,0.000001,0.01,4194.24,334.294286,4.19
STORJ-USDT,SPOT,STORJ,USDT,,10,0.000001,0.0001,0.2589,421105.452992,2.59
STRK-USDT,SPOT,STRK,USDT,,1,0.0001,0.0001,0.1337,6562727.9849,0.13
STX-USDT,SPOT,STX,USDT,,1,0.000001,0.0001,0.6622,2259580.953002,0.66
SUI-USDT,SPOT,SUI,USDT,,1,0.0001,0.0001,3.4835,14737343.916,3.48
SUSHI-USDT,SPOT,SUSHI,USDT,,1,0.000001,0.0001,0.767,1481618.744809,0.77
SWEAT-USDT,SPOT,SWEAT,USDT,,100,0.01,0.000001,0.002128,43527927.64,0.21
SWFTC-USDT,SPOT,SWFTC,USDT,,100,0.000001,0.000001,0.010339,21392679.781954,1.03
T-USDT,SPOT,T,USDT,,100,0.0001,0.00001,0.01598,1054844.6965,1.60
THETA-USDT,SPOT,THETA,USDT,,1,0.000001,0.0001,0.7806,552182.122175,0.78
TIA-USDT,SPOT,TIA,USDT,,0.1,0.0001,0.001,1.685,1263111.714,0.17
TNSR-USDT,SPOT,TNSR,USDT,,1,0.0001,0.0001,0.1218,1799773.7654,0.12
TRA-USDT,SPOT,TRA,USDT,,1,0.000001,0.0001,0.4607,160098.631167,0.46
TRB-USDT,SPOT,TRB,USDT,,0.01,0.000001,0.01,35.44,20288.870647,0.35
TRUMP-USDT,SPOT,TRUMP,USDT,,0.1,0.0001,0.001,8.805,2812956.3245,0.88
TRX-USDT,SPOT,TRX,USDT,,1,0.000001,0.00001,0.35167,35515952.813381,0.35
TURBO-USDT,SPOT,TURBO,USDT,,1000,0.01,0.000001,0.004095,294225048.36,4.09
ULTI-USDT,SPOT,ULTI,USDT,,100,0.1,0.000001,0.0021,111164078.3,0.21
UMA-USDT,SPOT,UMA,USDT,,1,0.000001,0.001,1.391,4188055.207784,1.39
UNI-USDT,SPOT,UNI,USDT,,0.1,0.000001,0.001,10.24,1282381.040211,1.02
USDC-USDT,SPOT,USDC,USDT,,1,0.000001,0.0001,0.9998,83712768.165931,1.00
USDG-USDT,SPOT,USDG,USDT,,1,0.0001,0.0001,0.9999,2264.1907,1.00
USTC-USDT,SPOT,USTC,USDT,,100,0.0001,0.00001,0.01346,34280555.335,1.35
UXLINK-USDT,SPOT,UXLINK,USDT,,10,0.01,0.0001,0.3088,3054310.4,3.09
VELO-USDT,SPOT,VELO,USDT,,100,0.000001,0.000001,0.014999,110719350.646437,1.50
VELODROME-USDT,SPOT,VELODROME,USDT,,10,0.0001,0.00001,0.05175,1916302.4672,0.52
VINE-USDT,SPOT,VINE,USDT,,10,0.01,0.00001,0.06728,187660136.01,0.67
VRA-USDT,SPOT,VRA,USDT,,100,0.000001,0.000001,0.001433,252077616.416743,0.14
W-USDT,SPOT,W,USDT,,10,0.0001,0.00001,0.07837,16888605.1044,0.78
WAXP-USDT,SPOT,WAXP,USDT,,100,0.000001,0.00001,0.02036,1578389.189885,2.04
WBTC-USDT,SPOT,WBTC,USDT,,0.0001,0.000001,0.1,113886,1.221823,11.39
WCT-USDT,SPOT,WCT,USDT,,10,0.01,0.0001,0.3045,1017863.99,3.04
WIF-USDT,SPOT,WIF,USDT,,1,0.001,0.0001,0.8376,10956293.747,0.84
WIN-USDT,SPOT,WIN,USDT,,10000,1,0.00000001,0.00006168,494781186,0.62
WLD-USDT,SPOT,WLD,USDT,,1,0.001,0.0001,0.9293,7723390.856,0.93
WOO-USDT,SPOT,WOO,USDT,,10,0.000001,0.00001,0.0736,5435148.178759,0.74
XAUT-USDT,SPOT,XAUT,USDT,,0.001,0.000001,0.1,3343.2,158.535233,3.34
XCH-USDT,SPOT,XCH,USDT,,0.1,0.000001,0.001,9.46,42061.90828,0.95
XLM-USDT,SPOT,XLM,USDT,,10,0.000001,0.00001,0.39756,7940743.254716,3.98
XTZ-USDT,SPOT,XTZ,USDT,,1,0.000001,0.0001,0.7985,636070.863858,0.80
YFI-USDT,SPOT,YFI,USDT,,0.0005,0.000001,1,5470,30.447611,2.73
YGG-USDT,SPOT,YGG,USDT,,10,0.000001,0.0001,0.153,3407491.943772,1.53
ZBCN-USDT,SPOT,ZBCN,USDT,,1000,1,0.0000001,0.0043335,454018691,4.33
ZENT-USDT,SPOT,ZENT,USDT,,100,0.1,0.000001,0.00737,214390786.1,0.74
ZETA-USDT,SPOT,ZETA,USDT,,1,0.001,0.0001,0.1875,1483435.122,0.19
ZEUS-USDT,SPOT,ZEUS,USDT,,10,0.0001,0.0001,0.106,3326426.8373,1.06
ZIL-USDT,SPOT,ZIL,USDT,,100,0.000001,0.00001,0.01106,14044895.592569,1.11
ZK-USDT,SPOT,ZK,USDT,,10,0.01,0.00001,0.06163,18664134.61,0.62
ZKJ-USDT,SPOT,ZKJ,USDT,,1,0.0001,0.0001,0.1948,4647216.3474,0.19
ZRO-USDT,SPOT,ZRO,USDT,,1,0.001,0.001,1.96,687749.044,1.96
ZRX-USDT,SPOT,ZRX,USDT,,10,0.000001,0.0001,0.2418,192467.76246,2.42
ETH-BTC,SPOT,ETH,BTC,,0.0001,0.000001,0.00001,0.03697,17220.636352,0.00
OKB-BTC,SPOT,OKB,BTC,,0.1,0.0001,0.0000001,0.0011709,14218.6193,0.00
SOL-BTC,SPOT,SOL,BTC,,0.001,0.0001,0.0000001,0.0015977,23199.5384,0.00
BCH-BTC,SPOT,BCH,BTC,,0.01,0.0001,0.000001,0.004851,434.3144,0.00
LTC-BTC,SPOT,LTC,BTC,,0.01,0.000001,0.0000001,0.0010106,3234.773063,0.00
STX-BTC,SPOT,STX,BTC,,1,1,0.000000001,0.000005817,5362,0.00
WBTC-BTC,SPOT,WBTC,BTC,,0.0001,0.0001,0.0001,1.001,1.2004,0.00
SOL-ETH,SPOT,SOL,ETH,,0.001,0.0001,0.00001,0.04326,3257.3863,0.00
BETH-ETH,SPOT,BETH,ETH,,0.001,0.000001,0.0001,0.9992,2850.474183,0.00
STETH-ETH,SPOT,STETH,ETH,,0.001,0.000001,0.0001,0.9984,37.784925,0.00
OKSOL-SOL,SPOT,OKSOL,SOL,,0.001,0.000001,0.0001,0.9997,35096.490594,0.00
BTC-USD-SWAP,SWAP,,,BTC,1,1,0.1,113752,11000604,113752.00
ETH-USD-SWAP,SWAP,,,ETH,1,1,0.01,4205.21,115900110,4205.21
SOL-USD-SWAP,SWAP,,,SOL,1,1,0.01,181.84,6992711,181.84
DOGE-USD-SWAP,SWAP,,,DOGE,1,1,0.00001,0.21484,6714215,0.21
XRP-USD-SWAP,SWAP,,,XRP,1,1,0.0001,2.8999,3483888,2.90
ADA-USD-SWAP,SWAP,,,ADA,1,1,0.0001,0.8617,2151704,0.86
AVAX-USD-SWAP,SWAP,,,AVAX,1,1,0.001,22.962,186917,22.96
BCH-USD-SWAP,SWAP,,,BCH,1,1,0.1,551.9,178069,551.90
DOT-USD-SWAP,SWAP,,,DOT,1,1,0.001,3.796,443415,3.80
ETC-USD-SWAP,SWAP,,,ETC,1,1,0.01,20.9,237470,20.90
FIL-USD-SWAP,SWAP,,,FIL,1,1,0.001,2.397,2087293,2.40
LINK-USD-SWAP,SWAP,,,LINK,1,1,0.001,25.325,1456647,25.32
LTC-USD-SWAP,SWAP,,,LTC,1,1,0.01,115,1498057,115.00
SUI-USD-SWAP,SWAP,,,SUI,1,1,0.0001,3.4798,245528,3.48
UNI-USD-SWAP,SWAP,,,UNI,1,1,0.001,10.236,700051,10.24
BTC-USDT-SWAP,SWAP,,,USDT,0.01,0.01,0.1,113755.4,6180947,1137.55
ETH-USDT-SWAP,SWAP,,,USDT,0.01,0.01,0.01,4205.3,55250246.63,42.05
SOL-USDT-SWAP,SWAP,,,USDT,0.01,0.01,0.01,181.89,8945137.98,1.82
TON-USDT-SWAP,SWAP,,,USDT,1,1,0.001,3.247,9351830,3.25
DOGE-USDT-SWAP,SWAP,,,USDT,0.01,0.01,0.00001,0.21479,5201952.03,0.00
XRP-USDT-SWAP,SWAP,,,USDT,0.01,0.01,0.0001,2.8986,2674367.29,0.03
API3-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.349,376102333,1.35
PI-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3507,79869369,0.35
1INCH-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2481,28104223,0.25
A-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.4932,1296979,0.49
AAVE-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.01,287.89,3050028.9,28.79
ACE-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.5353,1575799,0.54
ACH-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.02044,1948843,0.02
ACT-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03917,192249235,0.04
ADA-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.0001,0.8609,5594013.5,0.09
AERO-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.3173,1852524,1.32
AEVO-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.09482,26776355,0.09
AGLD-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.6863,1905053,0.69
AI16Z-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1181,151123479,0.12
AIXBT-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.1086,8921949,0.11
ALCH-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.14061,1002929,0.14
ALGO-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2434,4566368,0.24
ANIME-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01644,40312844,0.02
APE-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.5983,142217738,0.60
APT-USDT-SWAP,SWAP,,,USDT,1,1,0.001,4.367,6401603,4.37
AR-USDT-SWAP,SWAP,,,USDT,1,1,0.001,6.836,15757374,6.84
ARB-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.0001,0.4874,19141417.5,0.05
ARC-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.02,15255433,0.02
ARKM-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.508,9164156,0.51
ATH-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03276,819822,0.03
ATOM-USDT-SWAP,SWAP,,,USDT,1,1,0.001,4.372,2521513,4.37
AUCTION-USDT-SWAP,SWAP,,,USDT,1,1,0.001,9.629,3420639,9.63
AVAX-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.001,22.958,3361050.1,2.30
AVAAI-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.0289,13692018,0.03
AXS-USDT-SWAP,SWAP,,,USDT,1,1,0.001,2.272,15072825,2.27
BABY-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.05133,10846392,0.05
BAND-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.7624,20456082,0.76
BAT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1501,2299238,0.15
BCH-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.1,551.8,876341.2,55.18
BERA-USDT-SWAP,SWAP,,,USDT,1,1,0.001,2.148,90491080,2.15
BICO-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.10572,13287068,0.11
BIGTIME-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.05405,4904510,0.05
BIO-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.16464,1760033878,0.16
BLUR-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.07715,4881202,0.08
BNB-USDT-SWAP,SWAP,,,USDT,1,1,0.1,833.1,17901439,833.10
BNT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.767,135813,0.77
BOME-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.001767,5088628,0.00
BONK-USDT-SWAP,SWAP,,,USDT,1,1,0.000000001,0.000021615,19282960,0.00
BRETT-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.04999,433697,0.05
CAT-USDT-SWAP,SWAP,,,USDT,1,1,0.000000001,0.000007664,6227551,0.00
CATI-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.08739,49571070,0.09
CELO-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3187,12369425,0.32
CETUS-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.09533,3232084,0.10
CFX-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.17476,77408321,0.17
CHZ-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03949,12072733,0.04
COMP-USDT-SWAP,SWAP,,,USDT,1,1,0.01,46.01,1418805,46.01
COOKIE-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.13274,3343273,0.13
CORE-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.4772,10503372,0.48
CRO-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.14381,3645734,0.14
CRV-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.8507,133202978,0.85
CTC-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.7318,1523449,0.73
CVC-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.09117,94696,0.09
CVX-USDT-SWAP,SWAP,,,USDT,1,1,0.001,3.888,533286,3.89
DEGEN-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.003505,2470268,0.00
DGB-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.008471,337933,0.01
DOGS-USDT-SWAP,SWAP,,,USDT,1,1,0.0000001,0.0001282,17097507,0.00
DOG-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.002728,853104,0.00
DOOD-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.003082,335192,0.00
DOT-USDT-SWAP,SWAP,,,USDT,1,1,0.001,3.795,15326085,3.79
DUCK-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.005528,19260355,0.01
DYDX-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.6436,46368613,0.64
EGLD-USDT-SWAP,SWAP,,,USDT,1,1,0.01,14.69,1302062,14.69
EIGEN-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.3086,20182708,1.31
ENJ-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.06791,1715960,0.07
ENS-USDT-SWAP,SWAP,,,USDT,1,1,0.001,24.596,6004309,24.60
ETC-USDT-SWAP,SWAP,,,USDT,0.01,0.01,0.01,20.9,195903.03,0.21
ETHW-USDT-SWAP,SWAP,,,USDT,1,1,0.001,1.566,6986569,1.57
ETHFI-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.0738,46343105,1.07
FARTCOIN-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.8867,108173395,0.89
FIL-USDT-SWAP,SWAP,,,USDT,1,1,0.001,2.396,234941817,2.40
FLM-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03042,14306756,0.03
FLOKI-USDT-SWAP,SWAP,,,USDT,1,1,0.00000001,0.00010044,1543511,0.00
FLOW-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3727,1432218,0.37
FXS-USDT-SWAP,SWAP,,,USDT,1,1,0.001,2.786,1112002,2.79
GALA-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01615,89613602,0.02
GAS-USDT-SWAP,SWAP,,,USDT,1,1,0.001,3.291,1640060,3.29
GLM-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2426,707903,0.24
GMT-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.04155,100228966,0.04
GMX-USDT-SWAP,SWAP,,,USDT,1,1,0.01,14.94,2281095,14.94
GOAT-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.08885,5502018,0.09
GODS-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.12538,14035086,0.13
GPS-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01288,12725585,0.01
GRASS-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.8233,25305612,0.82
GRIFFAIN-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03669,8009772,0.04
GRT-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.09021,8073457,0.09
H-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03121,1960341,0.03
HBAR-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.00001,0.23427,1415784.3,0.02
HMSTR-USDT-SWAP,SWAP,,,USDT,1,1,0.0000001,0.000703,22733927,0.00
HOME-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.0429,1351434,0.04
HUMA-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03252,2225493,0.03
HYPE-USDT-SWAP,SWAP,,,USDT,1,1,0.001,42.12,27550160,42.12
ICP-USDT-SWAP,SWAP,,,USDT,1,1,0.001,5.135,175515766,5.13
ICX-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.12644,784622,0.13
IMX-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.5402,11285833,0.54
INIT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.367,730393,0.37
INJ-USDT-SWAP,SWAP,,,USDT,1,1,0.001,13.427,14627505,13.43
IOST-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.003459,210290,0.00
IOTA-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1956,1728305,0.20
IP-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,5.6881,4220023,5.69
JELLYJELLY-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.02,435409,0.02
JOE-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1556,372044,0.16
JST-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03304,164734,0.03
JTO-USDT-SWAP,SWAP,,,USDT,1,1,0.001,1.696,3725949,1.70
JUP-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.4897,3558915,0.49
KAITO-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.0475,11153494,1.05
KMNO-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.05677,604892,0.06
KSM-USDT-SWAP,SWAP,,,USDT,1,1,0.01,14.26,1077789,14.26
LA-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3424,2709674,0.34
LAUNCHCOIN-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.04448,28995437,0.04
LAYER-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.5559,9531127,0.56
LDO-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.3296,65006398,1.33
LINK-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.001,25.327,22518124,2.53
LPT-USDT-SWAP,SWAP,,,USDT,1,1,0.001,6.245,17419984,6.25
LQTY-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.878,3875872,0.88
LRC-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.08752,7697974,0.09
LTC-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.01,114.92,1326672,11.49
LUNA-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1533,13981858,0.15
LUNC-USDT-SWAP,SWAP,,,USDT,1,1,0.00000001,0.00005861,3143025,0.00
MAGIC-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.23029,304197136,0.23
MAJOR-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1572,5914667,0.16
MANA-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.279,962065,0.28
MASK-USDT-SWAP,SWAP,,,USDT,1,1,0.001,1.233,2593509,1.23
ME-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.681,4135676,0.68
MEME-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.002377,326183089,0.00
MERL-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.11112,27306277,0.11
METIS-USDT-SWAP,SWAP,,,USDT,1,1,0.01,16.62,1718567,16.62
MEW-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.002878,1303900,0.00
MINA-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1821,8747957,0.18
MKR-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.1,1637.6,983383.5,163.76
MOG-USDT-SWAP,SWAP,,,USDT,1,1,0.0000000001,0.0000010594,3771503,0.00
MOODENG-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.14811,14968386,0.15
MORPHO-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,2.109,2678145,2.11
MOVE-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.12705,5783086,0.13
MUBARAK-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03207,605657,0.03
NEAR-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.001,2.469,1341730.8,0.25
NEIROETH-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.11646,499740,0.12
NEIRO-USDT-SWAP,SWAP,,,USDT,1,1,0.0000001,0.0003599,31357925,0.00
NEO-USDT-SWAP,SWAP,,,USDT,1,1,0.001,6.217,1934879,6.22
NEWT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3015,1164651,0.30
NMR-USDT-SWAP,SWAP,,,USDT,1,1,0.001,8.23,3940918,8.23
NOT-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.001831,18258189,0.00
NXPC-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.7696,2498088,0.77
OL-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03735,25865241,0.04
OM-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.0001,0.2395,2870853.5,0.02
ONDO-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.9293,3598819,0.93
ONE-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.010611,1250349,0.01
ONT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1338,753651,0.13
OP-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.7076,85470397,0.71
ORBS-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01795,310077,0.02
ORDI-USDT-SWAP,SWAP,,,USDT,1,1,0.001,8.762,40699357,8.76
PARTI-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1749,1279835,0.17
PENGU-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.029837,60044255,0.03
PEOPLE-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.0185,9903388,0.02
PEPE-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.000000001,0.000010379,3988136.7,0.00
PERP-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2791,5167704,0.28
PLUME-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.08208,9635228,0.08
PNUT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2144,10583012,0.21
POL-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2377,9257943,0.24
POPCAT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2744,3303385,0.27
PRCL-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.081,43194982,0.08
PROMPT-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.12099,3215381,0.12
PUMP-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.002991,40871633,0.00
PYTH-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.11604,4160585,0.12
QTUM-USDT-SWAP,SWAP,,,USDT,1,1,0.001,2.084,2318699,2.08
RAY-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,3.2342,5278062,3.23
RENDER-USDT-SWAP,SWAP,,,USDT,1,1,0.001,3.599,1859657,3.60
RESOLV-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1511,15052243,0.15
RSR-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.00836,4070670,0.01
RVN-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01336,17605040,0.01
S-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3094,7206180,0.31
SAHARA-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.0883,17093195,0.09
SAND-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2768,3834273,0.28
SATS-USDT-SWAP,SWAP,,,USDT,1,1,0.00000000001,0.00000003677,51301622,0.00
SCR-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3566,7208841,0.36
SHELL-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1307,1566938,0.13
SHIB-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.000000001,0.000012317,3132241.4,0.00
