instId,instType,baseCcy,quoteCcy,settleCcy,minSz,lotSz,tickSz,last,vol24h,minOrderValueUSD
PEOPLE-USD,SPOT,PEOPLE,USD,,100,0.000001,0.00001,0.01955,0,1.96
PEPE-USD,SPOT,PEPE,USD,,100000,1,0.000000001,0.000010421,887853993,1.04
PERP-USD,SPOT,PERP,USD,,1,0.000001,0.0001,0.2739,1150.867918,0.27
PHA-USD,SPOT,PHA,USD,,10,0.000001,0.00001,0.11638,53926.713228,1.16
PIXEL-USD,SPOT,PIXEL,USD,,10,0.01,0.00001,0.03286,0,0.33
PNUT-USD,SPOT,PNUT,USD,,1,0.01,0.0001,0.2162,1693.86,0.22
POL-USD,SPOT,POL,USD,,10,0.01,0.0001,0.2395,12838.7,2.40
POLYDOGE-USD,SPOT,POLYDOGE,USD,,100000000,1,0.000000000001,0.000000004746,431834108040,0.47
POR-USD,SPOT,POR,USD,,1,0.0001,0.0001,0.9357,2726.96,0.94
PRCL-USD,SPOT,PRCL,USD,,10,0.001,0.00001,0.08016,5242.514,0.80
PSTAKE-USD,SPOT,PSTAKE,USD,,100,0.000001,0.00001,0.03041,128396.111042,3.04
PUMP-USD,SPOT,PUMP,USD,,1000,1,0.000001,0.002998,2871310,3.00
PYTH-USD,SPOT,PYTH,USD,,10,0.001,0.00001,0.1172,10015.789,1.17
QTUM-USD,SPOT,QTUM,USD,,1,0.000001,0.001,2.071,711.484376,2.07
RACA-USD,SPOT,RACA,USD,,1000,0.001,0.00000001,0.00005579,31344579.336,0.06
RAY-USD,SPOT,RAY,USD,,1,0.000001,0.0001,3.2189,214.241963,3.22
RDNT-USD,SPOT,RDNT,USD,,10,0.001,0.00001,0.02224,0,0.22
RENDER-USD,SPOT,RENDER,USD,,1,0.001,0.001,3.587,567.31,3.59
RESOLV-USD,SPOT,RESOLV,USD,,10,0.01,0.0001,0.152,39854.35,1.52
