instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
PI-EUR,SPOT,PI,EUR,,,,,,,1741336200000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.3003,246.83,0.3013,859.299,0.3007,855.498,0.3049,0.3064,0.2936,73701.3407564,245503.357,0.2952,0.3013,1755694245616,0.30
1INCH-EUR,SPOT,1INCH,EUR,,,,,,,1700539860000,,0.0001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.2129,10.324051,0.2132,402.201811,0.2127,403.147279,0.2121,0.2155,0.2075,1442.1731357938,6805.534459,0.2089,0.2101,1755694243155,2.13
AAVE-EUR,SPOT,AAVE,EUR,,,,,,,1710389100000,,0.01,0.000001,0.01,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,247.23,0.010103,247.11,0.347009,246.89,0.052108,244.99,250.85,237,5299.32621856,21.680902,239.16,241.42,1755694245510,2.47
ADA-EUR,SPOT,ADA,EUR,,,,,,,1700539860000,,0.0001,0.0001,10,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.7397,12.2026,0.7389,887.7988,0.7387,12.2088,0.7935,0.7984,0.7191,430645.06937649,572236.0065,0.7275,0.7466,1755694244128,7.40
ALGO-EUR,SPOT,ALGO,EUR,,,,,,,1710388200000,,0.0001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.2082,10.045,0.2091,420.124,0.2086,411.071,0.2135,0.2158,0.204,1779.9770407,8534.03,0.2053,0.2073,1755694243219,2.08
APE-EUR,SPOT,APE,EUR,,,,,,,1710390600000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.515,1.5214,0.5137,166.9251,0.5129,345.3286,0.5331,0.5345,0.5045,1369.07314242,2656.8346,0.5059,0.5222,1755694244907,0.52
APT-EUR,SPOT,APT,EUR,,,,,,,1710385500000,,0.001,0.00001,0.1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,3.747,2.3835,3.753,292.8005,3.743,22.90927,3.826,3.831,3.679,6633.54084952,1769.04107,3.705,3.729,1755694243518,0.37
ARB-EUR,SPOT,ARB,EUR,,,,,,,1710387300000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.4188,1.3533,0.4184,82.0802,0.418,82.0753,0.4293,0.435,0.4055,17841.01500723,42799.278,0.4084,0.4223,1755694244208,0.42
ASTR-EUR,SPOT,ASTR,EUR,,,,,,,1710391800000,,0.00001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.02023,987.933,0.02051,8361.718,0.02039,8410.928,0.02072,0.02072,0.02022,52.46158474,2593.806,0.02022,0.02022,1755694243614,0.20
ATOM-EUR,SPOT,ATOM,EUR,,,,,,,1710384900000,,0.001,0.00001,0.1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,3.749,0.10141,3.758,130.09397,3.746,232.29736,3.775,3.805,3.671,4748.62884331,1269.34649,3.694,3.731,1755694218310,0.37
