instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
USDC-USDT-SWAP,SWAP,,,USDT,10,1,USDC,,,1678607700793,,0.0001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,1,26,1,2288,0.9999,835,0.9997,1.0001,0.9996,510170,51017,0.9999,0.9999,1755693505318,,,,
USELESS-USDT-SWAP,SWAP,,,USDT,10,1,USELESS,,,1753437600380,,0.0001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.2737,16,0.2738,42,0.2737,722,0.2727,0.2862,0.2436,279124710,27912471,0.269,0.2815,1755693510618,,,,
USTC-USDT-SWAP,SWAP,,,USDT,100,1,USTC,,,1667458491385,,0.00001,1,1,,100000000,25000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,25000,0.01346,11,0.01347,542,0.01346,8,0.01388,0.01397,0.01303,194150500,1941505,0.01319,0.0136,1755693510514,,,,
UXLINK-USDT-SWAP,SWAP,,,USDT,10,1,UXLINK,,,1721293204025,,0.0001,1,1,,100000000,6000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,6000,0.3082,2,0.3083,203,0.3082,112,0.3193,0.321,0.3044,7616520,761652,0.3065,0.3131,1755693509617,,,,
VANA-USDT-SWAP,SWAP,,,USDT,0.1,1,VANA,,,1734408000582,,0.001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,4.032,2,4.033,298,4.032,1,4.169,4.193,3.902,222689.7,2226897,3.961,4.085,1755693506907,,,,
VINE-USDT-SWAP,SWAP,,,USDT,10,1,VINE,,,1737889201529,,0.00001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.06723,27,0.06723,133,0.06722,2497,0.06991,0.07421,0.06579,2244460290,224446029,0.06785,0.0688,1755693511053,,,,
VIRTUAL-USDT-SWAP,SWAP,,,USDT,1,1,VIRTUAL,,,1733911200140,,0.0001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,1.1865,29,1.1865,16,1.1864,147,1.2299,1.2318,1.1481,11357127,11357127,1.1671,1.1827,1755693511114,,,,
W-USDT-SWAP,SWAP,,,USDT,1,1,W,,,1712147100572,,0.00001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.0783,447,0.0783,952,0.07829,677,0.07978,0.08036,0.07487,80363410,80363410,0.07519,0.07753,1755693510709,,,,
WAL-USDT-SWAP,SWAP,,,USDT,10,1,WAL,,,1746687600526,,0.0001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.4263,1,0.4264,1,0.4262,35,0.438,0.4465,0.4241,1864490,186449,0.4284,0.4335,1755693511018,,,,
WAXP-USDT-SWAP,SWAP,,,USDT,100,1,WAXP,,,1697687700843,,0.00001,1,1,,100000000,4000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,4000,0.02038,17,0.02037,82,0.02036,143,0.02037,0.02046,0.01963,18218400,182184,0.01982,0.02001,1755693508616,,,,
