instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
DEP-USD,SPOT,DEP,USD,,,,,,,1742283900000,,0.0000001,0.00001,100,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,0.0015086,136117.20152,0.0015398,194830.49746,0.001526,196592.39842,0.0015044,0.001597,0.0014355,3501.613014573733,2375748.08792,0.0014594,0.0015426,1755693510514,,,,
DGB-USD,SPOT,DGB,USD,,,,,,,1742284200000,,0.000001,0.000001,100,,999999999999,999999,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,999999,0.008427,6791.073658,0.008505,35273.368606,0.008452,35494.557501,0.008703,0.008703,0.008427,74.445363107572,8800.291232,0.008427,0.008427,1755693480721,,,,
DOGS-USD,SPOT,DOGS,USD,,,,,,,1743491100000,,0.0000001,1,1000,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.0001278,570044,0.0001288,2329192,0.0001281,2341920,0.00013,0.00013,0.0001267,817.3369266,6421937,0.000127,0.0001269,1755693507016,,,,
DOT-USD,SPOT,DOT,USD,,,,,,,1743491400000,,0.001,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,3.78,0.210596,3.791,11.413733,3.789,11.414214,3.87,3.906,3.696,1270.088527954,338.955625,3.75,3.76,1755693510421,,,,
DUCK-USD,SPOT,DUCK,USD,,,,,,,1738920900000,,0.000001,0.1,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.005507,23980.6,0.005488,54664.7,0.005457,54975.2,0.005388,0.005587,0.005312,4689.3276554,861846.5,0.005427,0.005587,1755693501616,,,,
DYDX-USD,SPOT,DYDX,USD,,,,,,,1743491700000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.6457,774.2492,0.6451,775.14195,0.6446,775.636064,0.626,0.651,0.6237,2472.0487054204,3845.931114,0.6237,0.6237,1755693511019,,,,
EGLD-USD,SPOT,EGLD,USD,,,,,,,1742886900000,,0.01,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,14.77,0.261038,14.75,20.338983,14.67,20.449897,15.03,15.03,14.65,398.13056757,27.121629,14.77,14.77,1755693510710,,,,
EIGEN-USD,SPOT,EIGEN,USD,,,,,,,1743492000000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.3338,389.362,1.3094,229.112,1.3044,766.636,1.325,1.3338,1.275,1020.2390984,772.849,1.3315,1.275,1755693509717,,,,
ELF-USD,SPOT,ELF,USD,,,,,,,1742284500000,,0.0001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.2127,80.979189,0.2055,1459.854014,0.2041,1469.867711,0.2127,0.2127,0.2127,0,0,0.2127,0.2127,1755693480023,,,,
ELON-USD,SPOT,ELON,USD,,,,,,,1742364000000,,0.0000000001,1,5000000,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.0000001063,95926824,0.0000001073,3307740970,0.0000001064,2819548872,0.000000109,0.0000001091,0.0000001043,751.1619348394,6999463827,0.0000001084,0.0000001051,1755693480026,,,,
ENJ-USD,SPOT,ENJ,USD,,,,,,,1742887200000,,0.00001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.06561,30.482,0.06815,4402.054,0.06778,4426.084,0.06705,0.06917,0.06561,15.0542434,220.448,0.06561,0.06633,1755693507314,,,,
ENS-USD,SPOT,ENS,USD,,,,,,,1736909700000,,0.001,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,24.525,1.5,24.592,12.199089,24.493,12.248397,24.88,24.88,24.508,805.901183421,32.643179,24.782,24.782,1755693508512,,,,
ERN-USD,SPOT,ERN,USD,,,,,,,1741846500000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.7004,158.415287,0.7053,425.350914,0.703,426.742532,0.7332,0.7996,0.6941,8951.9979550463,11978.971716,0.7435,0.7251,1755693494014,,,,
ETC-USD,SPOT,ETC,USD,,,,,,,1743492600000,,0.01,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,20.93,0.504081,20.94,62.082138,20.85,14.388489,21.27,21.27,20.49,16.54831017,0.796164,20.49,20.58,1755693507017,,,,
ETHFI-USD,SPOT,ETHFI,USD,,,,,,,1737975000000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.11,4.172,1.0758,278.8621,1.0715,279.9812,1.11,1.11,1.11,0,0,1.11,1.11,1755693505623,,,,
ETHW-USD,SPOT,ETHW,USD,,,,,,,1743492900000,,0.001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.575,2.5396,1.572,209.56,1.563,191.9385,1.589,1.589,1.575,29.233447,18.5406,1.577,1.577,1755693510318,,,,
EURC-USD,SPOT,EURC,USD,,,,,,,1742364300000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.1659,597.4658,1.1666,319160.9318,1.1656,340179.9511,1.1667,1.1673,1.1619,392363.84628301,336969.4916,1.1638,1.165,1755693506420,,,,
FIL-USD,SPOT,FIL,USD,,,,,,,1743660000000,,0.001,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,2.402,71.39055,2.401,13.5,2.397,13.5,2.409,2.409,2.371,2384.528826897,1003.352974,2.371,2.386,1755693504304,,,,
FLM-USD,SPOT,FLM,USD,,,,,,,1741851300000,,0.00001,0.000001,100,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.03045,9852.216748,0.03056,9816.753926,0.03035,9884.678747,0.03121,0.03121,0.02901,1043.91485431638,34977.195584,0.0291,0.02979,1755693486115,,,,
FLOKI-USD,SPOT,FLOKI,USD,,,,,,,1742796000000,,0.00000001,1,10000,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.00009999,13195,0.00010061,2981810,0.00010013,2996105,0.00010323,0.00010323,0.00009719,3983.42923657,39781858,0.00010056,0.0001,1755693509616,,,,
FLOW-USD,SPOT,FLOW,USD,,,,,,,1742887500000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.3688,224.4799,0.3736,802.997858,0.3718,806.885422,0.3827,0.3827,0.3688,393.4861896296,1063.432715,0.3741,0.3716,1755693507915,,,,
FLR-USD,SPOT,FLR,USD,,,,,,,1743660300000,,0.00001,0.01,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.02345,663.68,0.0235,12765.95,0.02345,10660.93,0.02381,0.02388,0.02301,1236.1659671,52975.03,0.02301,0.02301,1755693510327,,,,
FLUID-USD,SPOT,FLUID,USD,,,,,,,1743076800000,,0.001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,6.752,19.746,6.746,44.47,6.658,45.058,6.497,6.752,6.477,1008.118421,150.09,6.732,6.477,1755693480013,,,,
FORTH-USD,SPOT,FORTH,USD,,,,,,,1744265700000,,0.001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,2.76,61.608705,2.741,109.449106,2.726,110.051357,2.714,2.76,2.714,378.011702856,137.844657,2.728,2.728,1755693500615,,,,
G-USD,SPOT,G,USD,,,,,,,1743055200000,,0.00001,0.1,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.01149,173.6,0.01152,26041.6,0.01145,26200.8,0.0115,0.01152,0.01149,3.972648,345.3,0.01152,0.01152,1755693506812,,,,
GALA-USD,SPOT,GALA,USD,,,,,,,1743660600000,,0.00001,0.000001,100,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.01622,308.261405,0.0162,61728.395061,0.01613,18598.884066,0.01695,0.01695,0.01599,8.84042909692,548.35473,0.01622,0.016,1755693506746,,,,
