instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
ACE-USDT-SWAP,SWAP,,,USDT,1,1,ACE,,,1702884300614,,0.0001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,0.5353,38,0.5352,9,0.535,9,0.5478,0.553,0.5152,1575799,1575799,0.5173,0.5366,1755694245917,0.54
ACH-USDT-SWAP,SWAP,,,USDT,100,1,ACH,,,1708590301084,,0.00001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,0.02044,20,0.02044,416,0.02043,28,0.02095,0.02108,0.01978,194884300,1948843,0.01988,0.02044,1755694245813,0.02
ACT-USDT-SWAP,SWAP,,,USDT,1,1,ACT,,,1731582000644,,0.00001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.03917,2,0.03917,12167,0.03916,12167,0.03995,0.04036,0.03773,192249235,192249235,0.03807,0.0391,1755694245914,0.04
ADA-USDT-SWAP,SWAP,,,USDT,100,1,ADA,,,1582888608000,,0.0001,0.1,0.1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,0.8609,0.2,0.8609,53.7,0.8608,202.8,0.925,0.9316,0.8364,559401350,5594013.5,0.8459,0.8703,1755694245876,0.09
AERO-USDT-SWAP,SWAP,,,USDT,10,1,AERO,,,1751523300260,,0.0001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,1.3173,19,1.3174,30,1.3171,20,1.2798,1.3427,1.2057,18525240,1852524,1.2159,1.2364,1755694245813,1.32
AEVO-USDT-SWAP,SWAP,,,USDT,1,1,AEVO,,,1710325520298,,0.00001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.09482,736,0.09479,2325,0.09475,608,0.09731,0.09812,0.09083,26776355,26776355,0.09133,0.09471,1755694245876,0.09
AGLD-USDT-SWAP,SWAP,,,USDT,1,1,AGLD,,,1631008650016,,0.0001,1,1,,100000000,54000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,54000,0.6863,1,0.6865,65,0.6863,71,0.7069,0.71,0.6658,1905053,1905053,0.6708,0.69,1755694245807,0.69
AI16Z-USDT-SWAP,SWAP,,,USDT,1,1,AI16Z,,,1734686100190,,0.0001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.1181,1,0.1182,69544,0.1181,79687,0.1225,0.1237,0.1125,151123479,151123479,0.1138,0.1182,1755694245808,0.12
AIXBT-USDT-SWAP,SWAP,,,USDT,10,1,AIXBT,,,1735887600188,,0.00001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.1086,1,0.1086,301,0.10858,3,0.11381,0.11545,0.10553,89219490,8921949,0.1071,0.11084,1755694245813,0.11
ALCH-USDT-SWAP,SWAP,,,USDT,10,1,ALCH,,,1735888500097,,0.00001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.14061,2,0.14056,52,0.14054,1,0.14566,0.14572,0.13846,10029290,1002929,0.14132,0.14287,1755694244940,0.14
